?
Gem Systems GSM-19 BL 18 VI 2019 Canada

/Gem Systems GSM-19 0018465 v9.0 20 XII 2019 M e2@v9 
/ID 1 file 01survey.b   27 IX 22
/datum  33000.00
/no AC filter
/12.2V
/tune initialize Y auto-tune N 033.9uT
/115200bps
/time nT sq 
100508.0  33728.02 99 
100512.0  33728.03 99 
100516.0  33728.05 99 
100520.0  33728.04 99 
100524.0  33728.12 99 
100528.0  33728.12 99 
100532.0  33728.17 99 
100536.0  33728.32 99 
100540.0  33728.29 99 
100544.0  33728.42 99 
100548.0  33728.56 99 
100552.0  33728.61 99 
100556.0  33728.69 99 
100600.0  33728.87 99 
100604.0  33728.90 99 
100608.0  33728.94 99 
100612.0  33728.98 99 
100616.0  33728.96 99 
100620.0  33729.17 99 
100624.0  33729.16 99 
100628.0  33729.29 99 
100632.0  33729.33 99 
100636.0  33729.31 99 
100640.0  33729.36 99 
100644.0  33729.43 99 
100648.0  33729.37 99 
100652.0  33729.25 99 
100656.0  33729.20 99 
100700.0  33729.13 99 
100704.0  33729.05 99 
100708.0  33729.00 99 
100712.0  33728.95 99 
100716.0  33728.88 99 
100720.0  33728.77 99 
100724.0  33728.74 99 
100728.0  33728.79 99 
100732.0  33728.68 99 
100736.0  33728.71 99 
100740.0  33728.75 99 
100744.0  33728.65 99 
100748.0  33728.64 99 
100752.0  33728.66 99 
100756.0  33728.68 99 
100800.0  33728.72 99 
100804.0  33728.77 99 
100808.0  33728.77 99 
100812.0  33728.80 99 
100816.0  33728.81 99 
100820.0  33728.72 99 
100824.0  33728.70 99 
100828.0  33728.64 99 
100832.0  33728.50 99 
100836.0  33728.49 99 
100840.0  33728.27 99 
100844.0  33728.14 99 
100848.0  33728.09 99 
100852.0  33728.02 99 
100856.0  33727.87 99 
100900.0  33727.77 99 
100904.0  33727.84 99 
100908.0  33727.82 99 
100912.0  33727.80 99 
100916.0  33727.84 99 
100920.0  33727.89 99 
100924.0  33727.95 99 
100928.0  33728.07 99 
100932.0  33728.07 99 
100936.0  33728.15 99 
100940.0  33728.29 99 
100944.0  33728.42 99 
100948.0  33728.51 99 
100952.0  33728.60 99 
100956.0  33728.76 99 
101000.0  33728.79 99 
101004.0  33728.93 99 
101008.0  33729.02 99 
101012.0  33729.13 99 
101016.0  33729.25 99 
101020.0  33729.41 99 
101024.0  33729.51 99 
101028.0  33729.75 99 
101032.0  33729.84 99 
101036.0  33729.96 99 
101040.0  33730.08 99 
101044.0  33730.03 99 
101048.0  33730.04 99 
101052.0  33729.98 99 
101056.0  33730.02 99 
101100.0  33730.03 99 
101104.0  33730.17 99 
101108.0  33730.05 99 
101112.0  33730.03 99 
101116.0  33730.13 99 
101120.0  33730.11 99 
101124.0  33730.22 99 
101128.0  33730.19 99 
101132.0  33730.07 99 
101136.0  33730.34 99 
101140.0  33730.19 99 
101144.0  33730.20 99 
101148.0  33730.23 99 
101152.0  33730.11 99 
101156.0  33730.21 99 
101200.0  33730.29 99 
101204.0  33730.23 99 
101208.0  33730.37 99 
101212.0  33730.44 99 
101216.0  33730.29 99 
101220.0  33730.46 99 
101224.0  33730.74 99 
101228.0  33730.67 99 
101232.0  33730.69 99 
101236.0  33730.85 99 
101240.0  33730.91 99 
101244.0  33730.93 99 
101248.0  33731.12 99 
101252.0  33730.98 99 
101256.0  33731.30 99 
101300.0  33731.25 99 
101304.0  33731.21 99 
101308.0  33731.48 99 
101312.0  33731.40 99 
101316.0  33731.27 99 
101320.0  33731.63 99 
101324.0  33731.66 99 
101328.0  33731.68 99 
101332.0  33731.82 99 
101336.0  33731.77 99 
101340.0  33731.91 99 
101344.0  33732.00 99 
101348.0  33731.98 99 
101352.0  33731.97 99 
101356.0  33732.12 99 
101400.0  33732.21 99 
101404.0  33732.27 99 
101408.0  33732.26 99 
101412.0  33732.24 99 
101416.0  33732.47 99 
101420.0  33732.43 99 
101424.0  33732.50 99 
101428.0  33732.53 99 
101432.0  33732.57 99 
101436.0  33732.58 99 
101440.0  33732.66 99 
101444.0  33732.60 99 
101448.0  33732.65 99 
101452.0  33732.67 99 
101456.0  33732.65 99 
101500.0  33732.61 99 
101504.0  33732.49 99 
101508.0  33732.53 99 
101512.0  33732.59 99 
101516.0  33732.57 99 
101520.0  33732.65 99 
101524.0  33732.59 99 
101528.0  33732.53 99 
101532.0  33732.49 99 
101536.0  33732.56 99 
101540.0  33732.55 99 
101544.0  33732.50 99 
101548.0  33732.51 99 
101552.0  33732.46 99 
101556.0  33732.53 99 
101600.0  33732.50 99 
101604.0  33732.46 99 
101608.0  33732.49 99 
101612.0  33732.46 99 
101616.0  33732.40 99 
101620.0  33732.48 99 
101624.0  33732.45 99 
101628.0  33732.47 99 
101632.0  33732.48 99 
101636.0  33732.42 99 
101640.0  33732.50 99 
101644.0  33732.47 99 
101648.0  33732.46 99 
101652.0  33732.50 99 
101656.0  33732.59 99 
101700.0  33732.70 99 
101704.0  33732.77 99 
101708.0  33732.81 99 
101712.0  33732.98 99 
101716.0  33733.07 99 
101720.0  33733.11 99 
101724.0  33733.25 99 
101728.0  33733.35 99 
101732.0  33733.40 99 
101736.0  33733.47 99 
101740.0  33733.52 99 
101744.0  33733.64 99 
101748.0  33733.79 99 
101752.0  33733.81 99 
101756.0  33733.82 99 
101800.0  33734.02 99 
101804.0  33734.15 99 
101808.0  33734.17 99 
101812.0  33734.30 99 
101816.0  33734.42 99 
101820.0  33734.53 99 
101824.0  33734.63 99 
101828.0  33734.76 99 
101832.0  33734.87 99 
101836.0  33735.02 99 
101840.0  33735.16 99 
101844.0  33735.26 99 
101848.0  33735.33 99 
101852.0  33735.45 99 
101856.0  33735.59 99 
101900.0  33735.60 99 
101904.0  33735.67 99 
101908.0  33735.80 99 
101912.0  33735.82 99 
101916.0  33735.95 99 
101920.0  33735.95 99 
101924.0  33735.92 99 
101928.0  33736.01 99 
101932.0  33735.95 99 
101936.0  33735.96 99 
101940.0  33735.99 99 
101944.0  33735.98 99 
101948.0  33735.98 99 
101952.0  33736.01 99 
101956.0  33735.93 99 
102000.0  33735.92 99 
102004.0  33735.92 99 
102008.0  33735.85 99 
102012.0  33735.93 99 
102016.0  33735.97 99 
102020.0  33735.92 99 
102024.0  33735.93 99 
102028.0  33735.97 99 
102032.0  33736.01 99 
102036.0  33736.09 99 
102040.0  33735.98 99 
102044.0  33736.08 99 
102048.0  33736.06 99 
102052.0  33735.97 99 
102056.0  33735.97 99 
102100.0  33735.99 99 
102104.0  33735.91 99 
102108.0  33735.79 99 
102112.0  33735.76 99 
102116.0  33735.68 99 
102120.0  33735.68 99 
102124.0  33735.66 99 
102128.0  33735.62 99 
102132.0  33735.62 99 
102136.0  33735.62 99 
102140.0  33735.62 99 
102144.0  33735.61 99 
102148.0  33735.54 99 
102152.0  33735.55 99 
102156.0  33735.50 99 
102200.0  33735.50 99 
102204.0  33735.50 99 
102208.0  33735.47 99 
102212.0  33735.44 99 
102216.0  33735.46 99 
102220.0  33735.41 99 
102224.0  33735.40 99 
102228.0  33735.40 99 
102232.0  33735.37 99 
102236.0  33735.36 99 
102240.0  33735.31 99 
102244.0  33735.21 99 
102248.0  33735.30 99 
102252.0  33735.29 99 
102256.0  33735.23 99 
102300.0  33735.19 99 
102304.0  33735.21 99 
102308.0  33735.27 99 
102312.0  33735.18 99 
102316.0  33735.13 99 
102320.0  33735.17 99 
102324.0  33735.16 99 
102328.0  33735.13 99 
102332.0  33735.21 99 
102336.0  33735.29 99 
102340.0  33735.23 99 
102344.0  33735.36 99 
102348.0  33735.35 99 
102352.0  33735.29 99 
102356.0  33735.33 99 
102400.0  33735.40 99 
102404.0  33735.44 99 
102408.0  33735.49 99 
102412.0  33735.53 99 
102416.0  33735.61 99 
102420.0  33735.64 99 
102424.0  33735.40 99 
102428.0  33735.55 99 
102432.0  33735.66 99 
102436.0  33735.74 99 
102440.0  33735.79 99 
102444.0  33735.84 99 
102448.0  33735.79 99 
102452.0  33735.75 99 
102456.0  33735.74 99 
102500.0  33735.70 99 
102504.0  33735.71 99 
102508.0  33735.72 99 
102512.0  33735.66 99 
102516.0  33735.60 99 
102520.0  33735.54 99 
102524.0  33735.60 99 
102528.0  33735.57 99 
102532.0  33735.57 99 
102536.0  33735.64 99 
102540.0  33735.64 99 
102544.0  33735.59 99 
102548.0  33735.61 99 
102552.0  33735.63 99 
102556.0  33735.54 99 
102600.0  33735.52 99 
102604.0  33735.50 99 
102608.0  33735.42 99 
102612.0  33735.34 99 
102616.0  33735.30 99 
102620.0  33735.22 99 
102624.0  33735.17 99 
102628.0  33735.08 99 
102632.0  33735.02 99 
102636.0  33734.86 99 
102640.0  33734.73 99 
102644.0  33734.63 99 
102648.0  33734.47 99 
102652.0  33734.31 99 
102656.0  33734.09 99 
102700.0  33733.89 99 
102704.0  33733.73 99 
102708.0  33733.60 99 
102712.0  33733.47 99 
102716.0  33733.34 99 
102720.0  33733.18 99 
102724.0  33733.12 99 
102728.0  33732.96 99 
102732.0  33732.83 99 
102736.0  33732.80 99 
102740.0  33732.71 99 
102744.0  33732.56 99 
102748.0  33732.41 99 
102752.0  33732.24 99 
102756.0  33732.17 99 
102800.0  33732.03 99 
102804.0  33731.85 99 
102808.0  33731.84 99 
102812.0  33731.70 99 
102816.0  33731.56 99 
102820.0  33731.63 99 
102824.0  33731.55 99 
102828.0  33731.69 99 
102832.0  33731.67 99 
102836.0  33731.73 99 
102840.0  33731.85 99 
102844.0  33731.89 99 
102848.0  33732.01 99 
102852.0  33732.05 99 
102856.0  33732.10 99 
102900.0  33732.23 99 
102904.0  33732.26 99 
102908.0  33732.09 99 
102912.0  33732.19 99 
102916.0  33732.35 99 
102920.0  33732.29 99 
102924.0  33732.22 99 
102928.0  33732.16 99 
102932.0  33732.08 99 
102936.0  33732.02 99 
102940.0  33731.95 99 
102944.0  33731.92 99 
102948.0  33731.95 99 
102952.0  33731.87 99 
102956.0  33731.95 99 
103000.0  33731.95 99 
103004.0  33732.03 99 
103008.0  33732.09 99 
103012.0  33732.06 99 
103016.0  33731.97 99 
103020.0  33731.76 99 
103024.0  33731.54 99 
103028.0  33731.32 99 
103032.0  33731.04 99 
103036.0  33730.66 99 
103040.0  33730.29 99 
103044.0  33730.00 99 
103048.0  33729.56 99 
103052.0  33729.13 99 
103056.0  33728.90 99 
103100.0  33728.53 99 
103104.0  33728.25 99 
103108.0  33728.12 99 
103112.0  33727.77 99 
103116.0  33727.55 99 
103120.0  33727.26 99 
103124.0  33727.06 99 
103128.0  33726.93 99 
103132.0  33726.82 99 
103136.0  33726.69 99 
103140.0  33726.62 99 
103144.0  33726.71 99 
103148.0  33726.69 99 
103152.0  33726.59 99 
103156.0  33726.69 99 
103200.0  33726.88 99 
103204.0  33726.95 99 
103208.0  33727.10 99 
103212.0  33727.11 99 
103216.0  33727.38 99 
103220.0  33727.36 99 
103224.0  33727.40 99 
103228.0  33727.57 99 
103232.0  33727.63 99 
103236.0  33727.71 99 
103240.0  33727.84 99 
103244.0  33727.97 99 
103248.0  33728.04 99 
103252.0  33728.20 99 
103256.0  33728.19 99 
103300.0  33728.31 99 
103304.0  33728.41 99 
103308.0  33728.50 99 
103312.0  33728.66 99 
103316.0  33728.64 99 
103320.0  33728.84 99 
103324.0  33728.87 99 
103328.0  33728.98 99 
103332.0  33729.18 99 
103336.0  33729.29 99 
103340.0  33729.50 99 
103344.0  33729.72 99 
103348.0  33729.83 99 
103352.0  33729.93 99 
103356.0  33730.21 99 
103400.0  33730.22 99 
103404.0  33730.37 99 
103408.0  33730.55 99 
103412.0  33730.58 99 
103416.0  33730.58 99 
103420.0  33730.77 99 
103424.0  33730.84 99 
103428.0  33730.95 99 
103432.0  33730.89 99 
103436.0  33730.95 99 
103440.0  33730.97 99 
103444.0  33730.83 99 
103448.0  33730.80 99 
103452.0  33730.84 99 
103456.0  33730.79 99 
103500.0  33730.78 99 
103504.0  33730.74 99 
103508.0  33730.74 99 
103512.0  33730.56 99 
103516.0  33730.46 99 
103520.0  33730.67 99 
103524.0  33730.85 99 
103528.0  33730.82 99 
103532.0  33730.39 99 
103536.0  33730.28 99 
103540.0  33730.14 99 
103544.0  33729.97 99 
103548.0  33729.96 99 
103552.0  33729.74 99 
103556.0  33729.57 99 
103600.0  33729.58 99 
103604.0  33729.42 99 
103608.0  33729.42 99 
103612.0  33729.27 99 
103616.0  33728.93 99 
103620.0  33728.76 99 
103624.0  33728.68 99 
103628.0  33728.38 99 
103632.0  33728.30 99 
103636.0  33728.12 99 
103640.0  33728.01 99 
103644.0  33728.00 99 
103648.0  33727.97 99 
103652.0  33728.05 99 
103656.0  33728.08 99 
103700.0  33728.13 99 
103704.0  33728.21 99 
103708.0  33728.29 99 
103712.0  33728.28 99 
103716.0  33728.37 99 
103720.0  33728.36 99 
103724.0  33728.40 99 
103728.0  33728.52 99 
103732.0  33728.42 99 
103736.0  33728.40 99 
103740.0  33728.46 99 
103744.0  33728.29 99 
103748.0  33728.23 99 
103752.0  33728.22 99 
103756.0  33728.20 99 
103800.0  33728.15 99 
103804.0  33728.13 99 
103808.0  33728.08 99 
103812.0  33728.13 99 
103816.0  33728.15 99 
103820.0  33728.05 99 
103824.0  33728.06 99 
103828.0  33728.05 99 
103832.0  33728.08 99 
103836.0  33728.11 99 
103840.0  33728.17 99 
103844.0  33728.16 99 
103848.0  33728.22 99 
103852.0  33728.19 99 
103856.0  33728.34 99 
103900.0  33728.34 99 
103904.0  33728.39 99 
103908.0  33728.56 99 
103912.0  33728.62 99 
103916.0  33728.72 99 
103920.0  33728.91 99 
103924.0  33728.92 99 
103928.0  33729.03 99 
103932.0  33729.21 99 
103936.0  33729.26 99 
103940.0  33729.31 99 
103944.0  33729.57 99 
103948.0  33729.62 99 
103952.0  33729.79 99 
103956.0  33729.89 99 
104000.0  33730.14 99 
104004.0  33730.35 99 
104008.0  33730.46 99 
104012.0  33730.62 99 
104016.0  33730.83 99 
104020.0  33731.04 99 
104024.0  33731.22 99 
104028.0  33731.41 99 
104032.0  33731.52 99 
104036.0  33731.74 99 
104040.0  33731.91 99 
104044.0  33732.02 99 
104048.0  33732.15 99 
104052.0  33732.25 99 
104056.0  33732.34 99 
104100.0  33732.41 99 
104104.0  33732.47 99 
104108.0  33732.53 99 
104112.0  33732.56 99 
104116.0  33732.57 99 
104120.0  33732.62 99 
104124.0  33732.59 99 
104128.0  33732.54 99 
104132.0  33732.57 99 
104136.0  33732.55 99 
104140.0  33732.43 99 
104144.0  33732.32 99 
104148.0  33732.22 99 
104152.0  33732.18 99 
104156.0  33732.20 99 
104200.0  33732.21 99 
104204.0  33732.16 99 
104208.0  33732.28 99 
104212.0  33732.26 99 
104216.0  33732.30 99 
104220.0  33732.42 99 
104224.0  33732.47 99 
104228.0  33732.53 99 
104232.0  33732.66 99 
104236.0  33732.76 99 
104240.0  33732.88 99 
104244.0  33732.93 99 
104248.0  33733.06 99 
104252.0  33733.17 99 
104256.0  33733.22 99 
104300.0  33733.08 99 
104304.0  33733.68 99 
104308.0  33734.01 99 
104312.0  33734.12 99 
104316.0  33734.16 99 
104320.0  33734.26 99 
104324.0  33734.38 99 
104328.0  33734.46 99 
104332.0  33734.62 99 
104336.0  33734.77 99 
104340.0  33734.88 99 
104344.0  33735.02 99 
104348.0  33735.14 99 
104352.0  33735.20 99 
104356.0  33735.28 99 
104400.0  33735.37 99 
104404.0  33735.40 99 
104408.0  33735.41 99 
104412.0  33735.44 99 
104416.0  33735.51 99 
104420.0  33735.57 99 
104424.0  33735.51 99 
104428.0  33735.50 99 
104432.0  33735.40 99 
104436.0  33735.31 99 
104440.0  33735.28 99 
104444.0  33735.24 99 
104448.0  33735.17 99 
104452.0  33735.17 99 
104456.0  33735.11 99 
104500.0  33735.07 99 
104504.0  33735.07 99 
104508.0  33735.08 99 
104512.0  33735.08 99 
104516.0  33735.12 99 
104520.0  33735.04 99 
104524.0  33734.99 99 
104528.0  33734.98 99 
104532.0  33735.01 99 
104536.0  33735.10 99 
104540.0  33735.10 99 
104544.0  33735.27 99 
104548.0  33735.43 99 
104552.0  33735.63 99 
104556.0  33735.84 99 
104600.0  33736.06 99 
104604.0  33736.23 99 
104608.0  33736.41 99 
104612.0  33736.64 99 
104616.0  33736.84 99 
104620.0  33736.96 99 
104624.0  33737.19 99 
104628.0  33737.40 99 
104632.0  33737.39 99 
104636.0  33737.57 99 
104640.0  33737.62 99 
104644.0  33737.77 99 
104648.0  33737.91 99 
104652.0  33737.99 99 
104656.0  33737.91 99 
104700.0  33737.82 99 
104704.0  33738.03 99 
104708.0  33738.08 99 
104712.0  33738.12 99 
104716.0  33738.16 99 
104720.0  33738.21 99 
104724.0  33738.22 99 
104728.0  33738.11 99 
104732.0  33738.13 99 
104736.0  33738.15 99 
104740.0  33738.00 99 
104744.0  33737.87 99 
104748.0  33737.72 99 
104752.0  33737.80 99 
