

/Gem Systems GSMP-25 001608C v7.0 2 X 2019  ek2l@v7o                           
/ID 1 file 01survey.wm  27 IX 22
/UTC+01
/31P
/GPS datum WGS84 
/00000000
/Easting Northing elevation nT li cor-nT sat time picket-x picket-y 
/line  000000
 0322921.28  1019720.12  000529 033736.8463 1   00000.0000 11 095437.00 00246NE 0000000 N  
 032939.7103 i004 0322853.31 1019704.09 000525 033668.0503 1 00000.0000 11 095654.00 * * 
 032905.0676 i004 0322853.15 1019705.47 000525 033633.4276 1 00000.0000 11 095655.00 * * 
 032935.0768 i--- 0322852.94 1019706.49 000525 033663.4568 1 00000.0000 11 095656.00 * * 
 032933.8627 i004 0322852.82 1019707.83 000525 033662.2927 1 00000.0000 11 095657.00 * * 
 032934.6179 i004 0322852.70 1019709.15 000525 033663.0979 1 00000.0000 11 095658.00 * * 
 032965.9152 i004 0322851.88 1019710.13 000525 033694.4452 1 00000.0000 11 095659.00 * * 
 032967.4344 i--- 0322851.08 1019711.16 000525 033696.0144 1 00000.0000 11 095700.00 * * 
 032966.7409 i004 0322850.22 1019712.21 000525 033695.4109 1 00000.0000 11 095701.00 * * 
 032967.1534 i004 0322849.45 1019713.13 000525 033695.9034 1 00000.0000 11 095702.00 * * 
 032966.7411 i004 0322848.92 1019714.21 000525 033695.5811 1 00000.0000 11 095703.00 * * 
 032965.2557 i--- 0322848.56 1019715.04 000525 033694.1757 1 00000.0000 11 095704.00 * * 
 032963.5254 i004 0322848.45 1019715.32 000525 033692.4954 1 00000.0000 11 095705.00 * * 
 032962.7858 i004 0322848.46 1019715.16 000525 033691.8058 1 00000.0000 11 095706.00 * * 
 032963.2255 i004 0322848.47 1019715.17 000525 033692.2955 1 00000.0000 11 095707.00 * * 
 032962.8304 i--- 0322848.45 1019715.14 000525 033691.9504 1 00000.0000 11 095708.00 * * 
 032962.9069 i004 0322848.54 1019715.23 000525 033692.0869 1 00000.0000 11 095709.00 * * 
 032962.6686 i004 0322848.43 1019715.20 000525 033691.9086 1 00000.0000 11 095710.00 * * 
 032963.1759 i004 0322848.46 1019715.14 000525 033692.4759 1 00000.0000 11 095711.00 * * 
 032962.8849 i--- 0322848.53 1019715.16 000525 033692.2449 1 00000.0000 11 095712.00 * * 
 032963.1255 i004 0322848.54 1019715.27 000525 033692.4955 1 00000.0000 11 095713.00 * * 
 032962.7525 i004 0322848.51 1019715.26 000525 033692.1225 1 00000.0000 11 095714.00 * * 
 032962.8402 i004 0322848.53 1019715.29 000525 033692.2202 1 00000.0000 11 095715.00 * * 
 032962.8220 i--- 0322848.54 1019715.32 000525 033692.2020 1 00000.0000 11 095716.00 * * 
 032962.8064 i004 0322848.54 1019715.31 000525 033692.2364 1 00000.0000 11 095717.00 * * 
 032962.8517 i004 0322848.54 1019715.31 000525 033692.3317 1 00000.0000 11 095718.00 * * 
 032962.7621 i004 0322848.55 1019715.33 000525 033692.2921 1 00000.0000 11 095719.00 * * 
 032962.7332 i--- 0322848.55 1019715.32 000525 033692.3132 1 00000.0000 11 095720.00 * * 
 032962.6900 i004 0322848.55 1019715.30 000525 033692.3400 1 00000.0000 11 095721.00 * * 
 032962.7420 i004 0322848.54 1019715.30 000525 033692.4620 1 00000.0000 11 095722.00 * * 
 032962.5904 i004 0322848.57 1019715.29 000525 033692.3704 1 00000.0000 11 095723.00 * * 
 032962.0907 i--- 0322848.56 1019715.29 000525 033691.9407 1 00000.0000 11 095724.00 * * 
 032962.5089 i004 0322848.57 1019715.30 000525 033692.3489 1 00000.0000 11 095725.00 * * 
 032962.5028 i004 0322848.58 1019715.31 000525 033692.3428 1 00000.0000 11 095726.00 * * 
 032962.5685 i004 0322848.59 1019715.29 000525 033692.3985 1 00000.0000 11 095727.00 * * 
 032962.6048 i--- 0322848.57 1019715.31 000525 033692.4248 1 00000.0000 11 095728.00 * * 
 032963.0664 i004 0322848.56 1019715.27 000525 033692.9064 1 00000.0000 11 095729.00 * * 
 032949.6846 i004 0322848.43 1019715.25 000525 033679.5546 1 00000.0000 11 095730.00 * * 
 032928.7395 i004 0322848.46 1019715.29 000524 033658.6295 1 00000.0000 11 095731.00 * * 
 032911.7796 i--- 0322848.47 1019715.31 000524 033641.6896 1 00000.0000 11 095732.00 * * 
 032895.2238 i004 0322848.46 1019715.17 000524 033625.1338 1 00000.0000 11 095733.00 * * 
 032929.0684 i004 0322848.58 1019715.17 000524 033658.9784 1 00000.0000 11 095734.00 * * 
 032929.3980 i004 0322848.58 1019715.17 000524 033659.2980 1 00000.0000 11 095735.00 * * 
 032929.3551 i--- 0322848.20 1019715.51 000524 033659.2551 1 00000.0000 11 095736.00 * * 
 032966.3473 i004 0322847.58 1019716.21 000524 033696.2573 1 00000.0000 11 095737.00 * * 
 032969.7258 i004 0322846.90 1019716.92 000524 033699.6358 1 00000.0000 11 095738.00 * * 
 032974.0033 i004 0322846.09 1019717.78 000524 033703.9233 1 00000.0000 10 095739.00 * * 
 032975.6106 i--- 0322845.51 1019718.37 000524 033705.5306 1 00000.0000 10 095740.00 * * 
 032975.1885 i004 0322844.36 1019718.32 000524 033705.0985 1 00000.0000 10 095741.00 * * 
 032973.6636 i004 0322843.31 1019718.07 000524 033703.5736 1 00000.0000 10 095742.00 * * 
 032973.4641 i004 0322842.27 1019718.34 000524 033703.3641 1 00000.0000 10 095743.00 * * 
 032972.9362 i--- 0322841.09 1019718.40 000524 033702.8262 1 00000.0000 10 095744.00 * * 
 032972.0921 i004 0322839.89 1019718.15 000524 033702.0021 1 00000.0000 10 095745.00 * * 
 032971.9398 i004 0322838.69 1019717.75 000524 033701.8598 1 00000.0000 10 095746.00 * * 
 032971.3794 i004 0322837.49 1019717.49 000524 033701.3194 1 00000.0000 11 095747.00 * * 
 032971.3383 i--- 0322836.27 1019718.08 000524 033701.2883 1 00000.0000 11 095748.00 * * 
 032971.1450 i004 0322835.43 1019718.79 000524 033701.0550 1 00000.0000 11 095749.00 * * 
 032969.7884 i004 0322834.48 1019719.02 000524 033699.6584 1 00000.0000 11 095750.00 * * 
 032968.0529 i004 0322833.37 1019719.32 000523 033697.8729 1 00000.0000 11 095751.00 * * 
 032965.9873 i--- 0322832.17 1019719.68 000523 033695.7673 1 00000.0000 11 095752.00 * * 
 032964.0860 i004 0322831.37 1019720.13 000523 033693.8560 1 00000.0000 11 095753.00 * * 
 032962.6098 i004 0322830.58 1019720.28 000523 033692.3698 1 00000.0000 11 095754.00 * * 
 032961.0848 i004 0322829.75 1019720.68 000523 033690.8348 1 00000.0000 11 095755.00 * * 
 032959.5802 i--- 0322828.73 1019720.46 000523 033689.3202 1 00000.0000 11 095756.00 * * 
 032958.6062 i004 0322827.76 1019720.04 000523 033688.3562 1 00000.0000 11 095757.00 * * 
 032958.8314 i004 0322827.32 1019720.35 000523 033688.5914 1 00000.0000 11 095758.00 * * 
 032957.7480 i004 0322826.33 1019720.62 000523 033687.5080 1 00000.0000 11 095759.00 * * 
 032957.1805 i--- 0322825.47 1019720.72 000523 033686.9505 1 00000.0000 11 095800.00 * * 
 032956.1285 i004 0322824.39 1019720.83 000523 033685.8485 1 00000.0000 11 095801.00 * * 
 032953.7158 i004 0322823.26 1019720.34 000523 033683.3958 1 00000.0000 11 095802.00 * * 
 032949.4274 i004 0322822.20 1019719.78 000523 033679.0574 1 00000.0000 11 095803.00 * * 
 032945.4013 i--- 0322821.17 1019719.61 000523 033674.9813 1 00000.0000 11 095804.00 * * 
 032940.9873 i004 0322820.51 1019719.50 000523 033670.5873 1 00000.0000 11 095805.00 * * 
 032939.5141 i004 0322820.22 1019719.87 000523 033669.1341 1 00000.0000 11 095806.00 * * 
 032941.3247 i004 0322819.48 1019719.93 000523 033670.9547 1 00000.0000 11 095807.00 * * 
 032957.6945 i--- 0322818.73 1019720.32 000523 033687.3445 1 00000.0000 11 095808.00 * * 
 032988.8429 i004 0322817.86 1019720.31 000523 033718.5029 1 00000.0000 11 095809.00 * * 
 033011.5025 i004 0322817.17 1019720.43 000523 033741.1625 1 00000.0000 11 095810.00 * * 
 033009.1067 i004 0322816.56 1019720.05 000523 033738.7767 1 00000.0000 11 095811.00 * * 
 033029.6307 i--- 0322815.76 1019719.55 000523 033759.3007 1 00000.0000 11 095812.00 * * 
 033103.7300 i004 0322815.02 1019719.62 000523 033833.3800 1 00000.0000 11 095813.00 * * 
 033170.2541 i004 0322814.45 1019719.35 000523 033899.8841 1 00000.0000 11 095814.00 * * 
 033163.6219 i004 0322814.70 1019719.04 000523 033893.2219 1 00000.0000 11 095815.00 * * 
 026825.9941 i--- 0322814.36 1019718.66 000523 027555.5741 1 00000.0000 11 095816.00 * * 
 031733.3417 i004 0322813.82 1019718.33 000523 032462.9617 1 00000.0000 11 095817.00 * * 
 033110.5432 i004 0322813.27 1019717.72 000523 033840.1932 1 00000.0000 11 095818.00 * * 
 033117.2630 i004 0322812.15 1019718.32 000523 033846.9530 1 00000.0000 11 095819.00 * * 
 033096.5530 i--- 0322811.10 1019718.70 000523 033826.2730 1 00000.0000 11 095820.00 * * 
 033041.1605 i004 0322810.48 1019719.68 000523 033770.8505 1 00000.0000 11 095821.00 * * 
 032984.2881 i004 0322809.89 1019720.45 000523 033713.9581 1 00000.0000 11 095822.00 * * 
 032954.6546 i004 0322808.77 1019721.14 000523 033684.2946 1 00000.0000 11 095823.00 * * 
 032952.1648 i--- 0322807.95 1019721.87 000523 033681.7748 1 00000.0000 11 095824.00 * * 
 032949.7263 i004 0322806.80 1019722.44 000523 033679.3463 1 00000.0000 11 095825.00 * * 
 032947.5416 i004 0322805.69 1019722.65 000523 033677.1716 1 00000.0000 11 095826.00 * * 
 032944.4293 i004 0322804.47 1019722.64 000523 033674.0693 1 00000.0000 11 095827.00 * * 
 032939.5449 i--- 0322803.25 1019723.16 000523 033669.1949 1 00000.0000 11 095828.00 * * 
 032937.2048 i004 0322802.41 1019723.62 000523 033666.8448 1 00000.0000 11 095829.00 * * 
 032935.1533 i004 0322801.19 1019724.03 000523 033664.7833 1 00000.0000 11 095830.00 * * 
 032935.0655 i004 0322799.91 1019724.14 000523 033664.6855 1 00000.0000 11 095831.00 * * 
 032934.5093 i--- 0322798.73 1019724.29 000523 033664.1193 1 00000.0000 11 095832.00 * * 
 032936.3249 i004 0322797.60 1019724.92 000523 033665.8949 1 00000.0000 11 095833.00 * * 
 032930.6869 i004 0322796.42 1019725.18 000523 033660.2169 1 00000.0000 11 095834.00 * * 
 032911.3123 i004 0322795.10 1019725.49 000523 033640.8023 1 00000.0000 11 095835.00 * * 
 032909.7214 i--- 0322794.05 1019725.83 000522 033639.1714 1 00000.0000 11 095836.00 * * 
 032934.3832 i004 0322792.94 1019725.75 000522 033663.8132 1 00000.0000 11 095837.00 * * 
