LONG,LAT,Cor_nT
322748.24,1019706.49,32959.7227
322747.04,1019706.38,32963.6707
322745.88,1019706.81,32968.5372
322744.89,1019707.47,32972.1945
322743.88,1019708.43,32975.6926
322742.99,1019709.03,32978.1898
322742.09,1019709.72,32979.7542
322741.38,1019710.51,32980.1616
322740.76,1019711.7,32980.2644
322739.97,1019712.06,32979.3925
322739.33,1019711.99,32979.7973
322738.73,1019712.18,32979.8709
322737.69,1019712.42,32980.7336
322736.58,1019712.38,32981.2138
322735.75,1019712.89,32982.0036
322735,1019713.91,32981.8083
322734.18,1019714.58,32981.2349
322733.34,1019714.94,32980.7463
322732.16,1019715.19,32981.006
322730.9,1019715.44,32982.2711
322729.89,1019715.59,32983.0363
322728.68,1019715.74,32983.1528
322727.27,1019715.9,32983.6237
322726.34,1019716.54,32984.0071
322725.36,1019717.29,32983.326
322724.4,1019717.92,32981.7612
322723.27,1019718.48,32980.6798
322722.12,1019718.91,32979.4842
322720.85,1019719.33,32978.6239
322719.62,1019719.59,32978.0489
322718.21,1019719.86,32977.5709
322716.92,1019719.98,32977.4725
322715.64,1019720.01,32977.9123
322715.66,1019720.14,32978.2673
322715.69,1019720.23,32978.9978
322715.68,1019720.22,32978.9508
322715.67,1019720.24,32978.9302
322715.67,1019720.24,32978.8914
322715.68,1019720.27,32978.1316
322715.71,1019720.28,32976.7524
322715.7,1019720.25,32977.3736
322715.41,1019720.21,32978.0459
322714.28,1019720.52,32978.1208
322713.11,1019720.89,32979.0508
322711.83,1019721.23,32979.8596
322710.62,1019721.24,32979.2486
322709.37,1019720.84,32980.6273
322708.18,1019720.98,32982.9711
322707,1019721.33,32983.7009
322705.78,1019721.41,32983.7415
322704.64,1019721.25,32984.1051
322703.35,1019721.23,32984.7698
322702.52,1019721.51,32985.2983
322701.95,1019721.1,32985.5791
322701.29,1019721.3,32985.4575
322700.5,1019721.29,32985.478
322699.34,1019721.44,32986.9569
322698.69,1019721.35,32987.0017
322697.51,1019720.64,32986.4967
322696.58,1019719.89,32986.5643
322695.36,1019719.7,32986.5167
322694.14,1019720.1,32984.8521
322693.04,1019720.11,32980.9961
322691.69,1019720.02,32980.0691
322690.46,1019719.94,32985.2433
322689.48,1019720.4,32987.4379
322688.17,1019720.45,32988.4057
322686.94,1019720.37,32988.8148
322685.58,1019720.33,32989.5029
322684.52,1019720.13,32990.144
322683.05,1019719.99,32990.9158
322681.78,1019720.1,32991.6553
322680.61,1019719.83,32992.3858
322679.43,1019719.41,32993.0262
322678.46,1019719.66,32993.834
322677.35,1019719.92,32994.1327
322676.3,1019719.69,32994.2758
322675.3,1019719.76,32994.6642
322674.36,1019719.76,32995.1638
322673.02,1019719.9,32995.2928
322672.24,1019720.11,32996.1783
322671.52,1019720.05,32996.5285
322670.69,1019720.4,32996.7559
322669.51,1019720.2,32997.577
322668.45,1019719.79,32998.4865
322667.4,1019719.84,32999.4219
322666.39,1019719.54,33000.1473
322666.3,1019719.23,33000.3463
322665.33,1019719.05,33000.6504
322664.54,1019718.41,33001.6793
322664.55,1019717.74,32970.7536
322664.35,1019718.05,32932.2426
322664.44,1019717.97,32931.5101
322664.35,1019718.14,32931.9596
322664.04,1019717.79,32964.5235
322663.47,1019717.52,32968.0417
322662.91,1019717.27,33001.9009
322661.99,1019717.23,33003.101
322661.22,1019717.22,33002.8938
322660.46,1019717.01,33002.9064
322659.98,1019717.06,33002.9382
322659.58,1019717.34,33003.4807
322659,1019716.99,33003.3306
322658.47,1019716.91,33002.6865
322658.15,1019716.39,32993.9129
322658.01,1019716.29,32969.3712
322657.6,1019716.22,32972.8658
322657.17,1019715.79,32971.1162
322657.04,1019715.51,32970.2905
322657.16,1019715.73,32972.0773
322657.18,1019715.67,32971.6371
322657.03,1019715.55,32959.3729
322657.02,1019715.7,32964.5309
322656.9,1019716.05,32999.7701
322656.62,1019715.7,33001.4733
322656.13,1019715.59,33002.6311
322656.06,1019715.36,33004.7973
322656.17,1019715.02,33004.3392
322656.28,1019715.17,33005.3652
322656.22,1019715.3,33003.6192
322656.17,1019715.28,33003.7113
322656.2,1019715.27,33002.9757
322656.2,1019715.28,33002.8729
322656.2,1019715.28,33002.6475
322656.18,1019715.28,33002.8404
322656.18,1019715.26,33002.7264
322656.19,1019715.28,33002.7293
322656.18,1019715.28,33002.8227
322656.17,1019715.27,33002.6415
322656.17,1019715.21,33002.8939
322656.11,1019715.03,33002.7196
322656.23,1019715.01,33001.8021
322656.15,1019715.3,33003.5667
322656.15,1019715.34,33003.5228
322656.16,1019715.33,33003.5374
322656.17,1019715.31,33003.3485
322656.15,1019715.31,33002.9304
322656.15,1019715.3,33003.4852
322656.14,1019715.3,33003.817
322656.16,1019715.3,33004.9499
322656.15,1019715.31,33004.5841
322656.13,1019715.3,33004.5635
322656.12,1019715.3,33004.4338
322656.16,1019715.35,33004.3886
322656.12,1019715.33,33004.3727
322656.12,1019715.33,33004.3599
322656.13,1019715.34,33004.1049
322656.14,1019715.34,33004.1546
322656.13,1019715.35,33004.321
322656.12,1019715.32,33004.321
322656.12,1019715.33,33004.3458
322656.12,1019715.32,33004.3921
322656.11,1019715.32,33004.4341
322656.13,1019715.32,33004.3737
322656.11,1019715.3,33006.0965
322656.14,1019715.3,33006.1446
322656.13,1019715.28,33003.806
322656.13,1019715.3,33004.0039
322656.12,1019715.3,33004.2994
322656.14,1019715.29,33004.2673
322656.15,1019715.3,33004.242
322656.16,1019715.29,33004.2588
322656.15,1019715.3,33004.2352
322656.16,1019715.29,33004.2431
322656.18,1019715.3,33004.0354
322656.18,1019715.31,33002.8292
322656.18,1019715.31,33003.5907
322656.18,1019715.32,33003.9072
322656.19,1019715.32,33004.5901
322656.18,1019715.33,33005.6236
322656.18,1019715.33,33006.2622
322656.18,1019715.32,33005.6856
322656.18,1019715.33,33005.4534
322656.18,1019715.33,33005.342
322656.18,1019715.31,33005.1833
322656.09,1019715.12,33005.1692
322656.04,1019714.91,32983.5911
322656.3,1019715.37,32970.8484
322656.23,1019715.35,33005.2192
322656.25,1019715.37,33005.3158
322656.24,1019715.4,33005.444
322656.24,1019715.38,33005.476
322656.24,1019715.38,33005.3498
322656.23,1019715.39,33005.5269
322656.22,1019715.4,33005.4187
322656.24,1019715.4,33005.3662
322656.25,1019715.39,33005.3023
322656.26,1019715.4,33005.2639
322656.26,1019715.4,33005.2678
322656.26,1019715.4,33005.3454
322656.26,1019715.4,33005.2138
322656.25,1019715.4,33005.0662
322656.27,1019715.43,33004.8132
322656.26,1019715.41,33004.7336
322656.25,1019715.43,33004.679
322656.24,1019715.41,33004.8384
322656.22,1019715.4,33004.899
322656.22,1019715.39,33004.9222
322656.22,1019715.38,33004.9014
322656.22,1019715.39,33004.8937
322656.23,1019715.4,33004.8553
322656.23,1019715.4,33004.8275
322656.23,1019715.4,33004.882
322656.24,1019715.4,33004.8978
322656.24,1019715.41,33004.9237
322656.24,1019715.4,33005.101
322656.23,1019715.37,33004.9591
322656.19,1019715.39,33004.9826
322656.19,1019715.42,33005.2331
322656.19,1019715.42,33005.2541
322656.2,1019715.41,33005.2334
322656.21,1019715.41,33005.2344
322656.2,1019715.41,33005.2498
322656.21,1019715.4,33005.2816
322656.21,1019715.4,33005.3286
322656.21,1019715.4,33005.3525
322656.22,1019715.4,33005.3518
322656.21,1019715.4,33005.3603
322656.21,1019715.4,33005.358
322656.22,1019715.4,33005.3553
322656.22,1019715.4,33005.3295
322656.23,1019715.41,33005.3014
322656.23,1019715.4,33005.2967
322656.22,1019715.4,33005.2843
322656.22,1019715.4,33005.3115
322656.22,1019715.4,33005.3301
322656.22,1019715.4,33005.3615
322656.23,1019715.4,33005.3917
322656.23,1019715.4,33005.3702
322656.23,1019715.4,33005.3564
